tax_id,ncbi_name,ncbi_rank,species_tax_id,species_name,mapping_source
36651,Penicillium digitatum,species,36651.0,Penicillium digitatum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36653,Penicillium commune,species,36653.0,Penicillium commune,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36656,Penicillium crustosum,species,36656.0,Penicillium crustosum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36740,Dermabacter hominis,species,36740.0,Dermabacter hominis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36808,Corynebacterium bovis,species,36808.0,Corynebacterium bovis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36822,Gordonia rubripertincta,species,36822.0,Gordonia rubripertincta,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36841,Terrisporobacter glycolicus,species,36841.0,Terrisporobacter glycolicus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36851,Fusobacterium mortiferum,species,36851.0,Fusobacterium mortiferum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36874,Porphyromonas cangingivalis,species,36874.0,Porphyromonas cangingivalis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36875,Porphyromonas canoris,species,36875.0,Porphyromonas canoris,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36911,Clavispora lusitaniae,species,36911.0,Clavispora lusitaniae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37326,Nocardia brasiliensis,species,37326.0,Nocardia brasiliensis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37328,Nocardia carnea,species,37328.0,Nocardia carnea,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37329,Nocardia farcinica,species,37329.0,Nocardia farcinica,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37330,Nocardia nova,species,37330.0,Nocardia nova,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37333,Nocardia transvalensis,species,37333.0,Nocardia transvalensis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37637,Corynebacterium pseudodiphtheriticum,species,37637.0,Corynebacterium pseudodiphtheriticum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37727,Talaromyces marneffei,species,37727.0,Talaromyces marneffei,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37734,Enterococcus casseliflavus,species,37734.0,Enterococcus casseliflavus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37762,Escherichia coli B,strain,562.0,Escherichia coli,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37769,Cryptococcus gattii,species,37769.0,Cryptococcus gattii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37919,Rhodococcus opacus,species,37919.0,Rhodococcus opacus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37928,Crystallibacter crystallopoietes,species,37928.0,Crystallibacter crystallopoietes,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37930,Glutamicibacter protophormiae,species,37930.0,Glutamicibacter protophormiae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37931,Paenarthrobacter ureafaciens,species,37931.0,Paenarthrobacter ureafaciens,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
37936,Rhinocladiella aquaspersa,species,37936.0,Rhinocladiella aquaspersa,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
